TradeStation Trades List,,,,,,,,,,,,,
,,,,,,,,,,,,,
#,Type,Date/Time,Signal,Price,Roll Over Pips,Shares/Ctrts - Profit/Loss,Net Profit - Cum Net Profit,% Profit,Run-up/Drawdown,Efficiency,Total Eff.,Comm.,Slippage
,,,,,,,,,,,,,
1,Buy,6/12/2023 11:55,Buy,$50.26 ,$0.00 ,100,$3.00 ,0.06%,$3.00 ,30.00%,,$0.00 ,$0.00 
,Sell,6/12/2023 12:35,Short,$50.29 ,,$3.00 ,$3.00 ,,($7.00),100.00%,30.00%,$0.00 ,$0.00 
2,Sell Short,6/12/2023 12:35,Short,$50.29 ,$0.00 ,100,$4.00 ,0.08%,$16.00 ,100.00%,,$0.00 ,$0.00 
,Buy to Cover,6/12/2023 13:55,Buy,$50.25 ,,$4.00 ,$7.00 ,,$0.00 ,25.00%,25.00%,$0.00 ,$0.00 
3,Buy,6/12/2023 13:55,Buy,$50.25 ,$0.00 ,100,$39.00 ,0.78%,$69.00 ,97.18%,,$0.00 ,$0.00 
,Sell,6/13/2023 9:05,Short,$50.64 ,,$39.00 ,$46.00 ,,($2.00),57.75%,54.93%,$0.00 ,$0.00 
4,Sell Short,6/13/2023 9:05,Short,$50.64 ,$0.00 ,100,($3.00),-0.06%,$19.00 ,65.52%,,$0.00 ,$0.00 
,Buy to Cover,6/13/2023 10:10,Buy,$50.67 ,,($3.00),$43.00 ,,($10.00),24.14%,-10.34%,$0.00 ,$0.00 
5,Buy,6/13/2023 10:10,Buy,$50.67 ,$0.00 ,100,$3.00 ,0.06%,$16.00 ,84.21%,,$0.00 ,$0.00 
,Sell,6/13/2023 10:45,Short,$50.70 ,,$3.00 ,$46.00 ,,($3.00),31.58%,15.79%,$0.00 ,$0.00 
6,Sell Short,6/13/2023 10:45,Short,$50.70 ,$0.00 ,100,$10.00 ,0.20%,$19.00 ,95.00%,,$0.00 ,$0.00 
,Buy to Cover,6/13/2023 11:35,Buy,$50.60 ,,$10.00 ,$56.00 ,,($1.00),55.00%,50.00%,$0.00 ,$0.00 
7,Buy,6/13/2023 11:35,Buy,$50.60 ,$0.00 ,100,$7.00 ,0.14%,$15.00 ,83.33%,,$0.00 ,$0.00 
,Sell,6/13/2023 12:25,Short,$50.67 ,,$7.00 ,$63.00 ,,($3.00),55.56%,38.89%,$0.00 ,$0.00 
8,Sell Short,6/13/2023 12:25,Short,$50.67 ,$0.00 ,100,($5.00),-0.10%,$3.00 ,33.33%,,$0.00 ,$0.00 
,Buy to Cover,6/13/2023 12:35,Buy,$50.72 ,,($5.00),$58.00 ,,($6.00),11.11%,-55.56%,$0.00 ,$0.00 
9,Buy,6/13/2023 12:35,Buy,$50.72 ,$0.00 ,100,($2.00),-0.04%,$6.00 ,66.67%,,$0.00 ,$0.00 
,Sell,6/13/2023 13:05,Short,$50.70 ,,($2.00),$56.00 ,,($3.00),11.11%,-22.22%,$0.00 ,$0.00 
10,Sell Short,6/13/2023 13:05,Short,$50.70 ,$0.00 ,100,$11.00 ,0.22%,$21.00 ,91.30%,,$0.00 ,$0.00 
,Buy to Cover,6/13/2023 14:10,Buy,$50.59 ,,$11.00 ,$67.00 ,,($2.00),56.52%,47.83%,$0.00 ,$0.00 
11,Buy,6/13/2023 14:10,Buy,$50.59 ,$0.00 ,100,$44.00 ,0.87%,$63.00 ,95.45%,,$0.00 ,$0.00 
,Sell,6/14/2023 9:15,Short,$51.03 ,,$44.00 ,$111.00 ,,($3.00),71.21%,66.67%,$0.00 ,$0.00 
12,Sell Short,6/14/2023 9:15,Short,$51.03 ,$0.00 ,100,$9.00 ,0.18%,$19.00 ,82.61%,,$0.00 ,$0.00 
,Buy to Cover,6/14/2023 10:25,Buy,$50.94 ,,$9.00 ,$120.00 ,,($4.00),56.52%,39.13%,$0.00 ,$0.00 
13,Buy,6/14/2023 10:25,Buy,$50.94 ,$0.00 ,100,$13.00 ,0.26%,$21.00 ,95.45%,,$0.00 ,$0.00 
,Sell,6/14/2023 11:25,Short,$51.07 ,,$13.00 ,$133.00 ,,($1.00),63.64%,59.09%,$0.00 ,$0.00 
14,Sell Short,6/14/2023 11:25,Short,$51.07 ,$0.00 ,100,$7.00 ,0.14%,$13.00 ,76.47%,,$0.00 ,$0.00 
,Buy to Cover,6/14/2023 12:40,Buy,$51.00 ,,$7.00 ,$140.00 ,,($4.00),64.71%,41.18%,$0.00 ,$0.00 
15,Buy,6/14/2023 12:40,Buy,$51.00 ,$0.00 ,100,($3.00),-0.06%,$0.00 ,0.00%,,$0.00 ,$0.00 
,Sell,6/14/2023 12:45,Short,$50.97 ,,($3.00),$137.00 ,,($3.00),0.00%,-100.00%,$0.00 ,$0.00 
16,Sell Short,6/14/2023 12:45,Short,$50.97 ,$0.00 ,100,$16.00 ,0.31%,$34.00 ,94.44%,,$0.00 ,$0.00 
,Buy to Cover,6/14/2023 13:40,Buy,$50.81 ,,$16.00 ,$153.00 ,,($2.00),50.00%,44.44%,$0.00 ,$0.00 
17,Buy,6/14/2023 13:40,Buy,$50.81 ,$0.00 ,100,$4.00 ,0.08%,$25.00 ,92.59%,,$0.00 ,$0.00 
,Sell,6/14/2023 14:20,Short,$50.85 ,,$4.00 ,$157.00 ,,($2.00),22.22%,14.81%,$0.00 ,$0.00 
18,Sell Short,6/14/2023 14:20,Short,$50.85 ,$0.00 ,100,($12.00),-0.24%,$16.00 ,57.14%,,$0.00 ,$0.00 
,Buy to Cover,6/14/2023 15:00,Buy,$50.97 ,,($12.00),$145.00 ,,($12.00),0.00%,-42.86%,$0.00 ,$0.00 
19,Buy,6/14/2023 15:00,Buy,$50.97 ,$0.00 ,100,$24.00 ,0.47%,$36.00 ,72.00%,,$0.00 ,$0.00 
,Sell,6/15/2023 9:25,Short,$51.21 ,,$24.00 ,$169.00 ,,($14.00),76.00%,48.00%,$0.00 ,$0.00 
20,Sell Short,6/15/2023 9:25,Short,$51.21 ,$0.00 ,100,($10.00),-0.20%,$0.00 ,0.00%,,$0.00 ,$0.00 
,Buy to Cover,6/15/2023 9:30,Buy,$51.31 ,,($10.00),$159.00 ,,($12.00),16.67%,-83.33%,$0.00 ,$0.00 
21,Buy,6/15/2023 9:30,Buy,$51.31 ,$0.00 ,100,$32.00 ,0.62%,$39.00 ,79.59%,,$0.00 ,$0.00 
,Sell,6/15/2023 11:10,Short,$51.63 ,,$32.00 ,$191.00 ,,($10.00),85.71%,65.31%,$0.00 ,$0.00 
22,Sell Short,6/15/2023 11:10,Short,$51.63 ,$0.00 ,100,$3.00 ,0.06%,$8.00 ,80.00%,,$0.00 ,$0.00 
,Buy to Cover,6/15/2023 11:55,Buy,$51.60 ,,$3.00 ,$194.00 ,,($2.00),50.00%,30.00%,$0.00 ,$0.00 
23,Buy,6/15/2023 11:55,Buy,$51.60 ,$0.00 ,100,($6.00),-0.12%,$1.00 ,12.50%,,$0.00 ,$0.00 
,Sell,6/15/2023 12:05,Short,$51.54 ,,($6.00),$188.00 ,,($7.00),12.50%,-75.00%,$0.00 ,$0.00 
24,Sell Short,6/15/2023 12:05,Short,$51.54 ,$0.00 ,100,($4.00),-0.08%,$7.00 ,53.85%,,$0.00 ,$0.00 
,Buy to Cover,6/15/2023 12:30,Buy,$51.58 ,,($4.00),$184.00 ,,($6.00),15.38%,-30.77%,$0.00 ,$0.00 
25,Buy,6/15/2023 12:30,Buy,$51.58 ,$0.00 ,100,$42.00 ,0.81%,$49.00 ,90.74%,,$0.00 ,$0.00 
,Sell,6/15/2023 14:40,Short,$52.00 ,,$42.00 ,$226.00 ,,($5.00),87.04%,77.78%,$0.00 ,$0.00 
26,Sell Short,6/15/2023 14:40,Short,$52.00 ,$0.00 ,100,($38.00),-0.73%,$14.00 ,25.45%,,$0.00 ,$0.00 
,Buy to Cover,6/16/2023 8:35,Buy,$52.38 ,,($38.00),$188.00 ,,($41.00),5.45%,-69.09%,$0.00 ,$0.00 
27,Buy,6/16/2023 8:35,Buy,$52.38 ,$0.00 ,100,($18.00),-0.34%,$0.00 ,0.00%,,$0.00 ,$0.00 
,Sell,6/16/2023 9:45,Short,$52.20 ,,($18.00),$170.00 ,,($37.00),51.35%,-48.65%,$0.00 ,$0.00 
28,Sell Short,6/16/2023 9:45,Short,$52.20 ,$0.00 ,100,$10.00 ,0.19%,$19.00 ,65.52%,,$0.00 ,$0.00 
,Buy to Cover,6/16/2023 11:05,Buy,$52.10 ,,$10.00 ,$180.00 ,,($10.00),68.97%,34.48%,$0.00 ,$0.00 
29,Buy,6/16/2023 11:05,Buy,$52.10 ,$0.00 ,100,($8.00),-0.15%,$1.00 ,11.11%,,$0.00 ,$0.00 
,Sell,6/16/2023 11:10,Short,$52.02 ,,($8.00),$172.00 ,,($8.00),0.00%,-88.89%,$0.00 ,$0.00 
30,Sell Short,6/16/2023 11:10,Short,$52.02 ,$0.00 ,100,($4.00),-0.08%,$5.00 ,41.67%,,$0.00 ,$0.00 
,Buy to Cover,6/16/2023 11:30,Buy,$52.06 ,,($4.00),$168.00 ,,($7.00),25.00%,-33.33%,$0.00 ,$0.00 
31,Buy,6/16/2023 11:30,Buy,$52.06 ,$0.00 ,100,$0.00 ,0.00%,$9.00 ,75.00%,,$0.00 ,$0.00 
,Sell,6/16/2023 12:10,Short,$52.06 ,,$0.00 ,$168.00 ,,($3.00),25.00%,0.00%,$0.00 ,$0.00 
32,Sell Short,6/16/2023 12:10,Short,$52.06 ,$0.00 ,100,($8.00),-0.15%,$5.00 ,38.46%,,$0.00 ,$0.00 
,Buy to Cover,6/16/2023 12:25,Buy,$52.14 ,,($8.00),$160.00 ,,($8.00),0.00%,-61.54%,$0.00 ,$0.00 
33,Buy,6/16/2023 12:25,Buy,$52.14 ,$0.00 ,100,($4.00),-0.08%,$1.00 ,12.50%,,$0.00 ,$0.00 
,Sell,6/16/2023 12:40,Short,$52.10 ,,($4.00),$156.00 ,,($7.00),37.50%,-50.00%,$0.00 ,$0.00 
34,Sell Short,6/16/2023 12:40,Short,$52.10 ,$0.00 ,100,($5.00),-0.10%,$5.00 ,45.45%,,$0.00 ,$0.00 
,Buy to Cover,6/16/2023 12:55,Buy,$52.15 ,,($5.00),$151.00 ,,($6.00),9.09%,-45.45%,$0.00 ,$0.00 
35,Buy,6/16/2023 12:55,Buy,$52.15 ,$0.00 ,100,($7.00),-0.13%,$1.00 ,11.11%,,$0.00 ,$0.00 
,Sell,6/16/2023 13:15,Short,$52.08 ,,($7.00),$144.00 ,,($8.00),11.11%,-77.78%,$0.00 ,$0.00 
36,Sell Short,6/16/2023 13:15,Short,$52.08 ,$0.00 ,100,($3.00),-0.06%,$3.00 ,42.86%,,$0.00 ,$0.00 
,Buy to Cover,6/16/2023 13:40,Buy,$52.11 ,,($3.00),$141.00 ,,($4.00),14.29%,-42.86%,$0.00 ,$0.00 
37,Buy,6/16/2023 13:40,Buy,$52.11 ,$0.00 ,100,($4.00),-0.08%,$0.00 ,0.00%,,$0.00 ,$0.00 
,Sell,6/16/2023 13:45,Short,$52.07 ,,($4.00),$137.00 ,,($4.00),0.00%,-100.00%,$0.00 ,$0.00 
38,Sell Short,6/16/2023 13:45,Short,$52.07 ,$0.00 ,100,$4.00 ,0.08%,$14.00 ,93.33%,,$0.00 ,$0.00 
,Buy to Cover,6/16/2023 14:40,Buy,$52.03 ,,$4.00 ,$141.00 ,,($1.00),33.33%,26.67%,$0.00 ,$0.00 
39,Buy,6/16/2023 14:40,Buy,$52.03 ,$0.00 ,100,($7.00),-0.13%,$6.00 ,28.57%,,$0.00 ,$0.00 
,Sell,6/20/2023 8:45,Short,$51.96 ,,($7.00),$134.00 ,,($15.00),38.10%,-33.33%,$0.00 ,$0.00 
40,Sell Short,6/20/2023 8:45,Short,$51.96 ,$0.00 ,100,$38.00 ,0.73%,$49.00 ,87.50%,,$0.00 ,$0.00 
,Buy to Cover,6/20/2023 10:40,Buy,$51.58 ,,$38.00 ,$172.00 ,,($7.00),80.36%,67.86%,$0.00 ,$0.00 
41,Buy,6/20/2023 10:40,Buy,$51.58 ,$0.00 ,100,($6.00),-0.12%,$1.00 ,10.00%,,$0.00 ,$0.00 
,Sell,6/20/2023 11:05,Short,$51.52 ,,($6.00),$166.00 ,,($9.00),30.00%,-60.00%,$0.00 ,$0.00 
42,Sell Short,6/20/2023 11:05,Short,$51.52 ,$0.00 ,100,($5.00),-0.10%,$0.00 ,0.00%,,$0.00 ,$0.00 
,Buy to Cover,6/20/2023 11:10,Buy,$51.57 ,,($5.00),$161.00 ,,($6.00),16.67%,-83.33%,$0.00 ,$0.00 
43,Buy,6/20/2023 11:10,Buy,$51.57 ,$0.00 ,100,$11.00 ,0.21%,$18.00 ,100.00%,,$0.00 ,$0.00 
,Sell,6/20/2023 12:00,Short,$51.68 ,,$11.00 ,$172.00 ,,$0.00 ,61.11%,61.11%,$0.00 ,$0.00 
44,Sell Short,6/20/2023 12:00,Short,$51.68 ,$0.00 ,100,($11.00),-0.21%,$4.00 ,25.00%,,$0.00 ,$0.00 
,Buy to Cover,6/20/2023 12:10,Buy,$51.79 ,,($11.00),$161.00 ,,($12.00),6.25%,-68.75%,$0.00 ,$0.00 
45,Buy,6/20/2023 12:10,Buy,$51.79 ,$0.00 ,100,($6.00),-0.12%,$9.00 ,60.00%,,$0.00 ,$0.00 
,Sell,6/20/2023 12:40,Short,$51.73 ,,($6.00),$155.00 ,,($6.00),0.00%,-40.00%,$0.00 ,$0.00 
46,Sell Short,6/20/2023 12:40,Short,$51.73 ,$0.00 ,100,$10.00 ,0.19%,$16.00 ,84.21%,,$0.00 ,$0.00 
,Buy to Cover,6/20/2023 13:35,Buy,$51.63 ,,$10.00 ,$165.00 ,,($3.00),68.42%,52.63%,$0.00 ,$0.00 
47,Buy,6/20/2023 13:35,Buy,$51.63 ,$0.00 ,100,($1.00),-0.02%,$2.00 ,28.57%,,$0.00 ,$0.00 
,Sell,6/20/2023 13:40,Short,$51.62 ,,($1.00),$164.00 ,,($5.00),57.14%,-14.29%,$0.00 ,$0.00 
48,Sell Short,6/20/2023 13:40,Short,$51.62 ,$0.00 ,100,$1.00 ,0.02%,$6.00 ,75.00%,,$0.00 ,$0.00 
,Buy to Cover,6/20/2023 14:15,Buy,$51.61 ,,$1.00 ,$165.00 ,,($2.00),37.50%,12.50%,$0.00 ,$0.00 
49,Buy,6/20/2023 14:15,Buy,$51.61 ,$0.00 ,100,($5.00),-0.10%,$0.00 ,0.00%,,$0.00 ,$0.00 
,Sell,6/20/2023 14:20,Short,$51.56 ,,($5.00),$160.00 ,,($6.00),16.67%,-83.33%,$0.00 ,$0.00 
50,Sell Short,6/20/2023 14:20,Short,$51.56 ,$0.00 ,100,($8.00),-0.16%,$5.00 ,35.71%,,$0.00 ,$0.00 
,Buy to Cover,6/20/2023 14:45,Buy,$51.64 ,,($8.00),$152.00 ,,($9.00),7.14%,-57.14%,$0.00 ,$0.00 
51,Buy,6/20/2023 14:45,Buy,$51.64 ,$0.00 ,100,($35.00),-0.68%,$8.00 ,18.18%,,$0.00 ,$0.00 
,Sell,6/21/2023 8:35,Short,$51.29 ,,($35.00),$117.00 ,,($36.00),2.27%,-79.55%,$0.00 ,$0.00 
52,Sell Short,6/21/2023 8:35,Short,$51.29 ,$0.00 ,100,$25.00 ,0.49%,$34.00 ,100.00%,,$0.00 ,$0.00 
,Buy to Cover,6/21/2023 9:50,Buy,$51.04 ,,$25.00 ,$142.00 ,,$0.00 ,73.53%,73.53%,$0.00 ,$0.00 
53,Buy,6/21/2023 9:50,Buy,$51.04 ,$0.00 ,100,($7.00),-0.14%,$1.00 ,9.09%,,$0.00 ,$0.00 
,Sell,6/21/2023 9:55,Short,$50.97 ,,($7.00),$135.00 ,,($10.00),27.27%,-63.64%,$0.00 ,$0.00 
54,Sell Short,6/21/2023 9:55,Short,$50.97 ,$0.00 ,100,($15.00),-0.29%,$2.00 ,11.11%,,$0.00 ,$0.00 
,Buy to Cover,6/21/2023 10:00,Buy,$51.12 ,,($15.00),$120.00 ,,($16.00),5.56%,-83.33%,$0.00 ,$0.00 
55,Buy,6/21/2023 10:00,Buy,$51.12 ,,100,n/a,n/a,$4.00 ,n/a,,$0.00 ,$0.00 
,Sell,Open,n/a,$51.08 ,,n/a,n/a,,($12.00),n/a,n/a,n/a,n/a
